MR;Policy: none;Policy: buy;Policy: rent;Policy: wage
Belo Horizonte;100.0;-90.58;0.0;0.0
São Paulo;29.84;-1.14;-0.9;7.23
Rio de Janeiro;27.38;-0.12;1.11;1.33
Joinville;19.43;-14.26;7.67;8.91
Campo Grande;18.63;-15.02;10.02;8.91
Pelotas;18.58;-15.81;10.24;10.71
João Pessoa;18.47;-14.78;10.11;8.97
Maceio;18.43;-15.06;9.84;9.83
Maringá;18.14;-14.33;10.16;10.86
Petrolina-Juazeiro;18.11;-13.97;9.16;9.25
Crato;17.92;-15.45;9.81;10.55
Feira de Santana;17.88;-14.9;10.29;9.08
all;17.87;-14.25;13.16;15.05
Cuiabá;17.59;-14.91;10.7;10.21
Uberlandia;17.57;-13.62;10.73;10.39
Sorocaba;17.56;-14.45;11.14;10.6
SJC;17.54;-14.21;10.55;9.59
Manaus;17.3;-14.58;11.94;11.14
Volta Redonda;17.23;-14.12;9.72;11.38
Ipatinga;17.22;-14.61;11.26;11.34
NH-SL;17.21;-14.78;10.61;11.06
Vitória;17.18;-14.97;11.86;10.99
Recife;17.02;-14.62;11.65;10.69
Campina Grande;16.96;-14.73;12.92;11.15
Londrina;16.77;-13.63;11.96;11.48
Natal;16.62;-14.53;10.81;11.59
Florianópolis;16.5;-13.53;12.25;11.57
Ilheus-Itabuna;16.5;-14.49;12.57;12.52
Juiz de Fora;16.4;-12.68;11.81;10.9
Teresina;16.21;-14.34;12.15;12.15
Macapá;16.15;-13.75;11.67;12.36
Ribeirão Preto;16.08;-14.28;12.2;12.16
Aracaju;15.87;-13.97;11.93;11.73
Goiânia;15.86;-14.32;13.58;12.45
Campos;15.83;-13.76;13.06;11.73
Sao Luis;15.73;-13.54;13.22;11.61
Caxias do Sul;15.71;-13.06;13.46;11.89
Salvador;15.04;-14.01;13.83;13.62
Santos;14.67;-13.48;13.2;13.62
Jundiai;14.56;-12.39;13.91;15.5
SJRP;14.36;-12.68;13.23;14.07
Fortaleza;13.99;-12.79;14.26;13.88
Curitiba;12.37;-12.3;71.55;79.85
Belém;8.0;-8.0;19.12;61.69
Porto Alegre;4.62;-4.47;13.5;14.24
Campinas;0.94;-0.94;63.56;97.53
Brasília;0.0;0.0;0.0;0.0
