;z_simulated_optimal;z_ml_optimal;z_simulated_non_optimal;z_ml_non_optimal;difference;p_value;reject_null_hypothesis
HIRING_SAMPLE_SIZE;0.6551724137930982;0.5104876479536539;0.6532992844448833;0.5101688986078934;-4.370066746479706;1.2420856432187522e-05;yes
LABOR_MARKET;0.8125;0.7014794522220047;0.808099013220924;0.6995712604004236;-4.476295114570616;7.594948391158314e-06;yes
LOAN_PAYMENT_TO_PERMANENT_INCOME;0.625;0.5284950071762037;0.6232396052883695;0.5277628864052186;-4.006587285747628;6.160236643067352e-05;yes
MARKUP;0.5;0.504992576810767;0.5;0.5051208502670981;-4.285173121120261;1.8259694230835344e-05;yes
MAX_LOAN_TO_VALUE;0.625;0.5317694227234433;0.6232396052883695;0.5315149707834339;-4.090361131606863;4.307020320042343e-05;yes
MUNICIPAL_EFFICIENCY_MANAGEMENT;0.4736842105263189;0.4441253357612301;0.4740548199393154;0.44460652313774673;-3.6444215510858315;0.00026799386095099697;yes
NEIGHBORHOOD_EFFECT;0.5708463949843295;0.579431579727522;0.6005748227630653;0.5805433937680716;-4.028539291624566;5.6124481640565586e-05;yes
OFFER_SIZE_ON_PRICE;0.5;0.4833520715531224;0.5;0.48368812649909465;-4.412298253365979;1.0227908497555421e-05;yes
PCT_DISTANCE_HIRING;0.30000000000000243;0.34117089453135907;0.30281663153865146;0.34358535624869013;-2.095651537289531;0.036113113846372634;yes
PERCENTAGE_ACTUAL_POP;0.11849529780564347;0.18531656453032685;0.2034872580954445;0.35617749837645507;-2.7220599733092214;0.006487636756975225;yes
PERCENTAGE_ENTERING_ESTATE_MARKET;0.07142857142857129;0.49245527060011524;0.07746421043986697;0.5002131177961688;-1.6853781754108137;0.0919156316118552;no
PERCENT_CONSTRUCTION_FIRMS;0.200000000000002;0.44626109300071176;0.20362138340680683;0.44674219393487913;-4.0870773419999775;4.3684152218348885e-05;yes
POLICY_COEFFICIENT;0.712121212121217;0.5197887234545038;0.7157182091078331;0.5218950759904589;-1.463088306655696;0.14344321709661176;no
POLICY_DAYS;0.6833855799373041;0.24590462604741073;0.8059973174937728;0.2564264715345877;-1.0754482278176671;0.28217409945174743;no
POLICY_QUANTILE;0.3416927899686521;0.24788627205447095;0.39897489940601655;0.2529569105392813;-1.4229501250850674;0.1547506139711091;no
PRIVATE_TRANSIT_COST;0.5;0.49819474379368217;0.5000000000000001;0.49878261187379697;-3.7948015831675797;0.00014776157585484864;yes
PRODUCTIVITY_EXPONENT;0.6666666666666718;0.5791064515671889;0.6643194737179129;0.578898549256353;-4.214860258576551;2.4993289492321438e-05;yes
PRODUCTIVITY_MAGNITUDE_DIVISOR;0.3142857142857162;0.5664745487739672;0.31690115785725625;0.5676377933383646;-2.4052491888502048;0.01616144142226166;yes
PUBLIC_TRANSIT_COST;0.100000000000001;0.1949081786447838;0.10563326307722591;0.20165123521733638;-1.3695320164528089;0.17083303393818494;no
SIZE_MARKET;0.4736842105263189;0.475577318234467;0.47394893153560846;0.4754906549153186;-4.2286636575937155;2.3508348059994267e-05;yes
STICKY_PRICES;0.5;0.4893347178722027;0.5000000000000001;0.48940146658487377;-4.454045435163656;8.426725579099645e-06;yes
TAX_ESTATE_TRANSACTION;0.6666666666666824;0.5137318624052781;0.6643194737179137;0.5135674131603246;-4.229166263951777;2.345589542841462e-05;yes
TOTAL_DAYS;0.0;0.2035495876830495;0.012071278022609695;0.21103305917122905;-1.5702763197271792;0.11635084080155993;no
